alias_name,alias_value
gs,git status
gst,git status
gits,git status
g,git
gti,git
got,git
gco,git checkout
gc,git checkout
gch,git checkout
gp,git push
gps,git push
push,git push
gd,git diff
gdiff,git diff
gdf,git diff
gpl,git pull
gl,git pull
gp,git pull
gb,git branch
gbr,git branch
gitb,git branch
ga,git add
add,git add
gad,git add
gc,git commit
gci,git commit
gcm,git commit
gcm,git commit -m
gc,git commit -m
gm,git commit -m
ls,ls --color=auto
l,ls --color=auto
sl,ls --color=auto
la,ls -A
lsa,ls -A
l.,ls -A
l,ls -CF
ls,ls -CF
lf,ls -CF
ll,ls -alF
l,ls -alF
la,ls -alF
ll,ls -l
l,ls -l
lsd,ls -l | grep ^d
l,ls
sl,ls
cls,cd $1 ; ls
ls,ls -G
l,ls -G
sl,ls -G
ll,ls -la
la,ls -la
lla,ls -la
la,ls -a
lsa,ls -a
l,ls -a
ll,ls -al
la,ls -al
l,ls -al
..,cd ..
cd..,cd ..
...,cd ..
...,cd ../..
cd...,cd ../..
..2,cd ../..
....,cd ../../..
..3,cd ../../..
cd....,cd ../../..
.....,cd ../../../..
..4,cd ../../../..
cd.....,cd ../../../..
~,cd ~
home,cd ~
h,cd ~
..,cd ../
cd..,cd ../
up,cd ../
1,cd -
cd-,cd -
cdb,cd -
c,cd
xs,cd
vf,cd
.4,cd ../../../../
.....,cd ../../../../
....,cd ../../../../
.3,cd ../../../
....,cd ../../../
...,cd ../../../
grep,grep --color=auto
g,grep --color=auto
G,| grep --color=auto
G,| grep
psg,ps -ef | grep
hg,history | grep
grep,grep --color
G,| grep --color
g,grep --color
grep,grep -i
g,grep -i
igrep,grep -i
grep,grep --colour=auto
cgrep,grep --colour=auto
psgrep,ps -ef | grep --colour=auto
psg,ps aux | grep -v grep | grep -i
psgrep,ps aux | grep -v grep | grep
files.usage.user,sudo fs_usage -e -f filesystem | grep -v CACHE_HIT | grep -v grep | grep Users
grep,grep --color=always
cgrep,grep --color=always
crep,grep --color=always
lsd,ls -lF | grep --color=never '^d'
ld,ls -lF | grep --color=never '^d'
lld,ls -lah | grep --color=never '^d'
openPorts,lsof -i | grep LISTEN
ports,netstat -nlpt | grep LISTEN
netlisteners,lsof -i -P | grep LISTEN
ips,"ifconfig -a | grep -o 'inet6\? \(addr:\)\?\s\?\(\(\([0-9]\+\.\)\{3\}[0-9]\+\)\|[a-fA-F0-9:]\+\)' | awk '{ sub(/inet6? (addr:)? ?/, \""\""); print }'"
