git;626185;11.79;version control;
ls;378097;7.12;system;
cd;229522;4.32;system;
grep;128045;2.41;system;
"""$@""";78276;1.47;;
wp;66434;1.25;system;
zypper;66295;1.25;package manager;
mate;61832;1.16;text editor;
echo;53934;1.02;system;
vim;53378;1.01;text editor;
zeus;52570;0.99;development;ruby
pacman;46821;0.88;package manager;
xargs;44927;0.85;system;
php;44486;0.84;development;
egrep;44374;0.84;system;
rm;44209;0.83;system;
"""$ROOT""";43400;0.82;;
docker;42868;0.81;infrastructure;
fgrep;40010;0.75;system;
mvn;36683;0.69;package manager;java
ssh;36574;0.69;system;
yaourt;34577;0.65;package manager;pacman frontend
apt-get;34075;0.64;package manager;
bundle;33753;0.64;package manager;ruby
kubectl;33035;0.62;infrastructure;kubernetes
tmux;32320;0.61;system;
rake;31284;0.59;development;ruby
dir;31069;0.59;system;
find;30923;0.58;system;
meteor;30889;0.58;development;javascript
vdir;29826;0.56;system;
;29690;0.56;;
hg;29363;0.55;version control;
clear;28997;0.55;system;
frontend;28335;0.53;development;javascript
ps;28276;0.53;system;
nocorrect;27688;0.52;system;zsh
cp;27472;0.52;system;
docker-compose;27162;0.51;infrastructure;docker
brew;27060;0.51;package manager;
npm;26523;0.5;package manager;
source;26290;0.5;system;
less;25238;0.48;system;
sbt;24523;0.46;development;scala
dnf;24469;0.46;package manager;yum
ruby;24374;0.46;development;
yum;23940;0.45;package manager;
tail;23449;0.44;system;
mv;22689;0.43;system;
python;22622;0.43;development;
sort;22391;0.42;system;
web_search;22358;0.42;other;?
notify-send;21683;0.41;system;sends desktop notifications
open;21454;0.4;system;mac open I guess?
drush;21177;0.4;development;drupal
react-native;20247;0.38;development;
$apt_pref;20245;0.38;package manager;apt
rails;19735;0.37;development;ruby
composer;19445;0.37;package manager;php
killall;19061;0.36;system;
nvim;19006;0.36;text editor;
su;18973;0.36;system;
jhbuild;18141;0.34;development;gnome?
pacaur;17944;0.34;package manager;aur
yarn;17533;0.33;package manager;javascript
head;17530;0.33;system;
cat;17425;0.33;system;
du;17344;0.33;system;
noglob;17208;0.32;system;some shell hack?
nmap;16085;0.3;system;
