stratum_first,stratum_last,population,sample
1,10,4,4
11,20,739,730
21,30,3453,3474
31,40,1218,1222
41,50,1542,1519
51,60,2735,2597
61,70,3575,3594
71,80,3539,3557
81,90,3180,3189
91,100,2178,2168
101,110,4412,3365
111,120,1834,1840
121,130,3815,2994
131,140,3845,2986
141,150,2339,2345
151,160,2922,2850
161,170,2651,2629
171,180,2080,2071
181,190,1955,1945
191,200,3915,3467
201,210,3269,3195
211,220,3150,3145
221,230,2788,2749
231,240,2767,2717
241,250,1412,1417
251,260,2023,2030
261,270,2234,2222
271,280,2050,2060
281,290,3886,3906
291,300,3924,3711
301,310,3036,2717
311,320,2346,2359
321,330,2980,2988
331,340,9881,4120
341,350,25177,4258
351,360,2361,2366
361,370,2416,2440
371,380,4461,4012
381,390,1538,1550
391,400,3817,3186
401,410,4821,3934
411,420,2971,2745
421,430,4753,4009
431,440,3707,3004
441,450,3716,2916
451,460,2068,2088
461,470,1382,1396
471,480,3831,3488
481,490,2446,2465
491,500,1154,1163
501,510,1429,1435
511,520,2916,2935
521,530,3119,3140
531,540,1509,1520
541,550,2349,2360
551,560,2874,2890
561,570,3282,3311
571,580,2341,2363
581,590,1471,1484
591,600,3391,3399
601,610,2210,2146
611,620,2216,2215
621,630,1295,1310
631,640,1514,1528
641,650,3450,3250
651,660,9320,3875
661,670,1991,2002
671,680,3731,2616
681,690,1463,1475
691,700,1329,1333
701,710,1399,1405
711,720,1234,1249
721,730,2233,2248
731,740,2400,2413
741,750,1539,1548
751,760,2291,2307
761,770,4986,3078
771,780,1154,1150
781,790,2630,2516
791,800,1970,1996
801,810,2484,2492
811,820,1909,1920
821,830,1672,1677
831,840,1567,1583
841,850,1278,1279
851,860,1656,1661
861,870,2796,2585
871,880,1719,1728
881,890,2621,2656
891,900,1850,1859
901,910,2609,2627
911,920,4102,4007
921,930,1255,1261
931,940,1494,1499
941,950,1428,1424
951,960,2041,2058
961,970,1096,1105
971,980,2903,2933
981,990,1418,1423
991,1000,980,990
1001,1010,1199,1203
1011,1020,2532,2532
1021,1030,1251,1286
1031,1040,1596,1648
1041,1050,1650,1669
1051,1060,904,915
1061,1070,1345,1367
1071,1080,886,882
1081,1090,2013,2017
1091,1100,1470,1482
1101,1110,842,847
1111,1120,4536,4444
1121,1130,1037,1048
1131,1140,1540,1545
1141,1150,835,843
1151,1160,788,793
1161,1170,850,857
1171,1180,1441,1449
1181,1190,780,782
1191,1200,689,701
1201,1210,1068,1067
1211,1220,923,914
1221,1230,1311,1310
1231,1240,1189,1189
1241,1250,907,907
1251,1260,990,990
1261,1270,971,971
1271,1280,816,816
1281,1290,1104,1103
1291,1300,1513,1512
1301,1310,898,898
1311,1320,1214,1211
1321,1330,1324,1321
1331,1340,2024,1986
1341,1350,1221,1221
1351,1360,713,713
1361,1370,1057,1057
1371,1380,794,792
1381,1390,991,990
1391,1400,882,881
1401,1410,937,934
1411,1420,1130,1129
1421,1430,1014,1014
1431,1440,1113,1113
1441,1450,869,869
1451,1460,855,856
1461,1470,2257,2000
1471,1480,1840,1839
1481,1490,755,754
1491,1500,1936,1925
1501,1510,635,635
1511,1520,1066,1065
1521,1530,1006,1007
1531,1540,2174,1998
1541,1550,1343,1341
1551,1560,1748,1746
1561,1570,985,985
1571,1580,1132,1132
1581,1590,993,993
1591,1600,912,912
1601,1610,1867,1848
1611,1620,1203,1199
1621,1630,1408,1408
1631,1640,2689,2000
1641,1650,2167,2000
1651,1660,1731,1729
1661,1670,764,762
1671,1680,668,668
1681,1690,1100,1100
1691,1700,1603,1600
1701,1710,1601,1592
1711,1720,1526,1520
1721,1730,729,727
1731,1740,1186,1186
1741,1750,2276,2000
1751,1760,893,889
1761,1770,819,819
1771,1780,1338,1338
1781,1790,599,599
1791,1800,1324,1323
1801,1810,751,751
1811,1820,607,607
1821,1830,1400,1400
1831,1840,2050,1998
1841,1850,1117,1106
1851,1860,738,735
1861,1870,602,602
1871,1880,894,894
1881,1890,2053,1999
1891,1900,713,711
1901,1910,1017,1017
1911,1920,840,840
1921,1930,521,520
1931,1940,1365,1361
1941,1950,752,749
1951,1960,1157,1157
1961,1970,715,715
1971,1980,1012,1012
1981,1990,625,622
1991,2000,1337,1334
2001,2010,1050,1050
2011,2020,1031,1031
2021,2030,1212,1211
2031,2040,1000,1000
2041,2050,1251,1250
2051,2060,537,537
2061,2070,791,791
2071,2080,1166,1165
2081,2090,407,408
2091,2100,1031,1031
2101,2110,1250,1237
2111,2120,813,813
2121,2130,1047,1046
2131,2140,1796,1794
2141,2150,1113,1112
2151,2160,951,951
2161,2170,781,776
2171,2180,1343,1342
2181,2190,709,707
2191,2200,877,877
2201,2210,654,654
2211,2220,726,726
2221,2230,862,862
2231,2240,868,866
2241,2250,1129,1129
2251,2260,1170,1170
2261,2270,536,536
2271,2280,702,699
2281,2290,1781,1778
2291,2300,1646,1644
2301,2310,675,675
2311,2320,1069,1068
2321,2330,1457,1455
2331,2340,777,777
2341,2350,640,640
2351,2360,1786,1786
2361,2370,558,558
2371,2380,1101,1101
2381,2390,573,573
2391,2400,1219,1218
2401,2410,1204,1202
2411,2420,864,864
2421,2430,1260,1258
2431,2440,728,728
2441,2450,1197,1197
2451,2460,456,456
2461,2470,1749,1749
2471,2480,405,405
2481,2490,707,705
2491,2500,1495,1495
2501,2510,1393,1393
2511,2520,645,645
2521,2530,473,473
2531,2540,514,513
2541,2550,458,447
2551,2560,721,721
2561,2570,1432,1432
2571,2580,1663,1656
2581,2590,1017,1017
2591,2600,470,470
2601,2610,1934,1934
2611,2620,1261,1261
2621,2630,618,618
2631,2640,696,695
2641,2650,1035,1035
2651,2660,444,445
2661,2670,5333,2378
2671,2680,730,731
2681,2690,582,580
2691,2700,1603,1595
2701,2710,1816,1812
2711,2720,1294,1293
2721,2730,543,542
2731,2740,583,580
2741,2750,511,511
2751,2760,520,520
2761,2770,565,565
2771,2780,577,577
2781,2790,584,584
2791,2800,966,962
